2021-09-15T16:37:26.704256+0300 INFO, {'price_standart': 700, 'price_express': 850.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': 100, 'price_from_address': 100, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:37:26.905658+0300 INFO, {'price_standart': 1400, 'price_express': 1640.0, 'convert_price': 600, 'inter_terminal': 800, 'price_to_address': 300, 'price_from_address': 300, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:37:27.440410+0300 INFO, {'price_standart': 1400, 'price_express': 1640.0, 'convert_price': 600, 'inter_terminal': 800, 'price_to_address': 300, 'price_from_address': 300, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:54:00.362192+0300 INFO, {'price_standart': 700, 'price_express': 850.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': 100, 'price_from_address': 100, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:54:32.432957+0300 INFO, {'price_standart': 700, 'price_express': 850.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': 100, 'price_from_address': 100, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:54:54.907990+0300 INFO, {'price_standart': 700, 'price_express': 850.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': 100, 'price_from_address': 100, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-16T09:13:50.731349+0300 INFO, {'price_standart': 700, 'price_express': 850.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': 100, 'price_from_address': 100, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-16T09:14:46.369934+0300 INFO, {'price_standart': 800, 'price_express': 1040.0, 'convert_price': 600, 'inter_terminal': 800, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-16T09:14:49.699875+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-16T09:14:55.339100+0300 INFO, {'price_standart': 600, 'price_express': 750.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': 100, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-16T09:14:56.585634+0300 INFO, {'price_standart': 700, 'price_express': 850.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': 100, 'price_from_address': 100, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-16T09:14:58.957112+0300 INFO, {'price_standart': 600, 'price_express': 750.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': 100, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-16T09:14:59.314988+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-16T09:15:05.280598+0300 INFO, {'price_standart': 600, 'price_express': 750.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': 100, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-16T09:15:06.433338+0300 INFO, {'price_standart': 700, 'price_express': 850.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': 100, 'price_from_address': 100, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-16T09:38:49.254954+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-16T09:39:56.061995+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-16T09:39:56.165318+0300 INFO, {'price_standart': 800, 'price_express': 1040.0, 'convert_price': 600, 'inter_terminal': 800, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-16T09:39:58.505582+0300 INFO, {'price_standart': 800, 'price_express': 1040.0, 'convert_price': 600, 'inter_terminal': 800, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-16T09:41:31.167246+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-16T09:41:43.765729+0300 INFO, {'price_standart': 600, 'price_express': 750.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': 100, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-16T09:42:24.586476+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-16T09:42:27.477694+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-16T09:42:27.695113+0300 INFO, {'price_standart': 800, 'price_express': 1040.0, 'convert_price': 600, 'inter_terminal': 800, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
